Date,Day,Building_Name,Building_Type,Time_Slot,Occupancy_Count,Electricity_Consumed_kWh,Peak_Demand_kW,Temperature_C,Renewable_Energy_kWh,Grid_Energy_kWh,Cost_Per_kWh,Total_Cost_INR,Carbon_Emission_kg,Holiday_Flag
2025-01-01,Wednesday,CSE Block,Academic,Morning,215,228,57,30,25,203,8,1824,142.1,No
2025-01-01,Wednesday,CSE Block,Academic,Afternoon,334,291,72.8,30,51,240,8,2328,168,No
2025-01-01,Wednesday,CSE Block,Academic,Evening,438,211,52.8,30,45,166,8,1688,116.2,No
2025-01-01,Wednesday,CSE Block,Academic,Night,406,97,24.2,30,0,97,8,776,67.9,No
2025-01-01,Wednesday,ECE Block,Academic,Morning,217,229,57.2,30,20,209,8,1832,146.3,No
2025-01-01,Wednesday,ECE Block,Academic,Afternoon,439,286,71.5,30,30,256,8,2288,179.2,No
2025-01-01,Wednesday,ECE Block,Academic,Evening,387,204,51,30,28,176,8,1632,123.2,No
2025-01-01,Wednesday,ECE Block,Academic,Night,357,68,17,30,0,68,8,544,47.6,No
2025-01-01,Wednesday,EEE Block,Academic,Morning,372,192,48,30,16,176,8,1536,123.2,No
2025-01-01,Wednesday,EEE Block,Academic,Afternoon,325,291,72.8,30,32,259,8,2328,181.3,No
2025-01-01,Wednesday,EEE Block,Academic,Evening,372,188,47,30,29,159,8,1504,111.3,No
2025-01-01,Wednesday,EEE Block,Academic,Night,308,82,20.5,30,0,82,8,656,57.4,No
2025-01-01,Wednesday,Mechanical Lab,Laboratory,Morning,169,431,107.8,30,79,352,8,3448,246.4,No
2025-01-01,Wednesday,Mechanical Lab,Laboratory,Afternoon,85,573,143.2,30,74,499,8,4584,349.3,No
2025-01-01,Wednesday,Mechanical Lab,Laboratory,Evening,83,423,105.8,30,90,333,8,3384,233.1,No
2025-01-01,Wednesday,Mechanical Lab,Laboratory,Night,152,195,48.8,30,0,195,8,1560,136.5,No
2025-01-01,Wednesday,Civil Block,Academic,Morning,414,187,46.8,30,17,170,8,1496,119,No
2025-01-01,Wednesday,Civil Block,Academic,Afternoon,218,238,59.5,30,26,212,8,1904,148.4,No
2025-01-01,Wednesday,Civil Block,Academic,Evening,212,151,37.8,30,32,119,8,1208,83.3,No
2025-01-01,Wednesday,Civil Block,Academic,Night,289,92,23,30,0,92,8,736,64.4,No
2025-01-01,Wednesday,Library,Library,Morning,292,183,45.8,30,19,164,8,1464,114.8,No
2025-01-01,Wednesday,Library,Library,Afternoon,108,222,55.5,30,37,185,8,1776,129.5,No
2025-01-01,Wednesday,Library,Library,Evening,257,187,46.8,30,31,156,8,1496,109.2,No
2025-01-01,Wednesday,Library,Library,Night,148,85,21.2,30,0,85,8,680,59.5,No
2025-01-01,Wednesday,Administration,Administration,Morning,101,169,42.2,30,18,151,8,1352,105.7,No
2025-01-01,Wednesday,Administration,Administration,Afternoon,54,212,53,30,22,190,8,1696,133,No
2025-01-01,Wednesday,Administration,Administration,Evening,110,136,34,30,13,123,8,1088,86.1,No
2025-01-01,Wednesday,Administration,Administration,Night,75,37,9.2,30,0,37,8,296,25.9,No
2025-01-01,Wednesday,Hostel A,Hostel,Morning,547,316,79,30,57,259,8,2528,181.3,No
2025-01-01,Wednesday,Hostel A,Hostel,Afternoon,429,442,110.5,30,62,380,8,3536,266,No
2025-01-01,Wednesday,Hostel A,Hostel,Evening,360,286,71.5,30,55,231,8,2288,161.7,No
2025-01-01,Wednesday,Hostel A,Hostel,Night,522,148,37,30,0,148,8,1184,103.6,No
2025-01-01,Wednesday,Hostel B,Hostel,Morning,402,306,76.5,30,57,249,8,2448,174.3,No
2025-01-01,Wednesday,Hostel B,Hostel,Afternoon,409,388,97,30,40,348,8,3104,243.6,No
2025-01-01,Wednesday,Hostel B,Hostel,Evening,399,269,67.2,30,42,227,8,2152,158.9,No
2025-01-01,Wednesday,Hostel B,Hostel,Night,480,147,36.8,30,0,147,8,1176,102.9,No
2025-01-01,Wednesday,Cafeteria,Cafeteria,Morning,133,165,41.2,30,33,132,8,1320,92.4,No
2025-01-01,Wednesday,Cafeteria,Cafeteria,Afternoon,304,251,62.8,30,47,204,8,2008,142.8,No
2025-01-01,Wednesday,Cafeteria,Cafeteria,Evening,194,168,42,30,19,149,8,1344,104.3,No
2025-01-01,Wednesday,Cafeteria,Cafeteria,Night,142,66,16.5,30,0,66,8,528,46.2,No
2025-01-02,Thursday,CSE Block,Academic,Morning,377,245,61.2,25,44,201,8,1960,140.7,No
2025-01-02,Thursday,CSE Block,Academic,Afternoon,435,272,68,25,55,217,8,2176,151.9,No
2025-01-02,Thursday,CSE Block,Academic,Evening,197,207,51.8,25,30,177,8,1656,123.9,No
2025-01-02,Thursday,CSE Block,Academic,Night,397,68,17,25,0,68,8,544,47.6,No
2025-01-02,Thursday,ECE Block,Academic,Morning,334,192,48,25,24,168,8,1536,117.6,No
2025-01-02,Thursday,ECE Block,Academic,Afternoon,230,273,68.2,25,35,238,8,2184,166.6,No
2025-01-02,Thursday,ECE Block,Academic,Evening,154,187,46.8,25,37,150,8,1496,105,No
2025-01-02,Thursday,ECE Block,Academic,Night,155,81,20.2,25,0,81,8,648,56.7,No
2025-01-02,Thursday,EEE Block,Academic,Morning,394,194,48.5,25,26,168,8,1552,117.6,No
2025-01-02,Thursday,EEE Block,Academic,Afternoon,422,284,71,25,24,260,8,2272,182,No
2025-01-02,Thursday,EEE Block,Academic,Evening,282,188,47,25,35,153,8,1504,107.1,No
2025-01-02,Thursday,EEE Block,Academic,Night,308,79,19.8,25,0,79,8,632,55.3,No
2025-01-02,Thursday,Mechanical Lab,Laboratory,Morning,166,446,111.5,25,65,381,8,3568,266.7,No
2025-01-02,Thursday,Mechanical Lab,Laboratory,Afternoon,93,584,146,25,84,500,8,4672,350,No
2025-01-02,Thursday,Mechanical Lab,Laboratory,Evening,171,416,104,25,51,365,8,3328,255.5,No
2025-01-02,Thursday,Mechanical Lab,Laboratory,Night,123,199,49.8,25,0,199,8,1592,139.3,No
2025-01-02,Thursday,Civil Block,Academic,Morning,408,185,46.2,25,32,153,8,1480,107.1,No
2025-01-02,Thursday,Civil Block,Academic,Afternoon,425,229,57.2,25,47,182,8,1832,127.4,No
2025-01-02,Thursday,Civil Block,Academic,Evening,211,175,43.8,25,27,148,8,1400,103.6,No
2025-01-02,Thursday,Civil Block,Academic,Night,218,74,18.5,25,0,74,8,592,51.8,No
2025-01-02,Thursday,Library,Library,Morning,101,208,52,25,42,166,8,1664,116.2,No
2025-01-02,Thursday,Library,Library,Afternoon,166,243,60.8,25,43,200,8,1944,140,No
2025-01-02,Thursday,Library,Library,Evening,293,168,42,25,25,143,8,1344,100.1,No
2025-01-02,Thursday,Library,Library,Night,136,77,19.2,25,0,77,8,616,53.9,No
2025-01-02,Thursday,Administration,Administration,Morning,77,149,37.2,25,21,128,8,1192,89.6,No
2025-01-02,Thursday,Administration,Administration,Afternoon,26,167,41.8,25,32,135,8,1336,94.5,No
2025-01-02,Thursday,Administration,Administration,Evening,95,119,29.8,25,11,108,8,952,75.6,No
2025-01-02,Thursday,Administration,Administration,Night,101,50,12.5,25,0,50,8,400,35,No
